State,County,Accident,Broken,Congestion,Construction,Event,Incident,Lane,Other,All
AR,Ashley,0,0,287,8,0,13,0,0,308
AR,Baxter,1,0,173,8,0,3,0,0,185
AR,Benton,3,0,3352,23,1,75,2,0,3456
AR,Boone,0,0,452,5,0,10,0,0,467
AR,Bradley,0,0,103,0,0,4,0,0,107
AR,Calhoun,0,0,321,19,0,2,0,0,342
AR,Carroll,1,0,263,7,0,3,0,0,274
AR,Chicot,0,0,303,8,0,1,0,0,312
AR,Clark,0,0,393,18,0,20,0,0,431
AR,Clay,0,0,113,2,0,0,0,0,115
AR,Cleburne,0,0,165,3,0,0,0,0,168
AR,Cleveland,0,0,144,1,0,0,0,0,145
AR,Columbia,0,0,199,13,0,3,0,0,215
AR,Conway,3,0,226,0,0,8,0,0,237
AR,Craighead,3,0,888,16,13,8,0,0,928
AR,Crawford,4,1,793,19,0,14,0,0,831
AR,Crittenden,72,6,1361,29,0,82,6,0,1556
AR,Cross,0,0,433,9,0,3,0,0,445
AR,Dallas,0,0,53,0,0,2,0,0,55
AR,Desha,0,0,265,34,0,3,0,0,302
AR,Drew,0,0,214,28,0,6,0,0,248
AR,Faulkner,1,1,653,12,6,18,1,0,692
AR,Franklin,0,0,230,4,0,5,0,0,239
AR,Fulton,0,0,93,6,0,1,0,0,100
AR,Garland,0,0,916,24,0,10,0,0,950
AR,Grant,0,0,235,2,0,3,0,0,240
AR,Greene,1,0,211,11,0,2,0,0,225
AR,Hempstead,2,0,1058,10,0,32,1,0,1103
AR,Hot Spring,5,1,293,8,0,12,0,0,319
AR,Howard,0,0,126,0,0,1,0,0,127
AR,Independence,0,0,420,13,0,3,0,0,436
AR,Izard,0,0,99,0,0,0,0,0,99
AR,Jackson,0,0,346,5,0,12,0,0,363
AR,Jefferson,1,0,618,20,4,7,0,0,650
AR,Johnson,3,0,260,5,0,9,0,0,277
AR,Lafayette,0,0,54,0,0,1,0,0,55
AR,Lawrence,0,0,211,5,0,0,0,1,217
AR,Lee,0,0,73,7,0,4,0,0,84
AR,Lincoln,0,0,164,2,0,6,0,0,172
AR,Little River,0,0,216,8,0,0,0,0,224
AR,Logan,0,0,105,0,0,0,0,0,105
AR,Lonoke,6,2,793,12,0,31,1,1,846
AR,Madison,0,0,117,8,0,0,0,0,125
AR,Marion,0,0,84,6,0,1,0,0,91
AR,Miller,0,0,1020,6,0,17,1,0,1044
AR,Mississippi,1,0,819,27,0,24,0,0,871
AR,Monroe,4,0,320,2,0,6,0,0,332
AR,Montgomery,0,0,112,0,0,0,0,0,112
AR,Nevada,0,0,257,1,0,4,0,0,262
AR,Newton,0,0,197,8,0,0,0,0,205
AR,Ouachita,0,0,232,29,0,3,0,0,264
AR,Perry,0,0,91,7,0,3,0,0,101
AR,Phillips,0,0,233,6,0,3,0,0,242
AR,Pike,0,0,74,0,0,0,0,0,74
AR,Poinsett,0,0,369,16,0,9,1,0,395
AR,Polk,0,0,270,0,0,1,0,0,271
AR,Pope,0,1,522,13,0,14,0,0,550
AR,Prairie,2,0,552,7,0,18,0,0,579
AR,Pulaski,35,1,4372,41,90,114,11,1,4665
AR,Randolph,0,0,205,4,0,1,0,0,210
AR,Saint Francis,0,0,40,2,0,1,0,0,43
AR,Saline,3,0,733,10,0,35,2,0,783
AR,Scott,0,1,250,0,0,1,0,0,252
AR,Searcy,0,0,474,10,0,1,0,0,485
AR,Sebastian,0,0,656,4,0,3,0,0,663
AR,Sevier,0,0,315,10,0,1,0,0,326
AR,Sharp,0,0,204,4,0,0,0,0,208
AR,St. Francis,16,0,1407,17,0,69,3,0,1512
AR,Stone,0,0,72,1,0,0,0,0,73
AR,Union,0,0,362,10,0,5,0,0,377
AR,Van Buren,0,0,233,5,0,2,0,0,240
AR,Washington,3,0,3229,27,86,105,0,0,3450
AR,White,2,0,675,24,0,5,0,0,706
AR,Woodruff,0,0,220,11,0,4,0,0,235
AR,Yell,0,0,190,1,0,1,0,0,192
AZ,ALL,18926,1491,121885,2061,534,4612,1068,24,150601
AZ,Apache,54,7,494,3,0,31,7,1,597
AZ,Cochise,50,9,647,2,0,31,1,0,740
AZ,Coconino,235,32,4513,13,4,182,16,0,4995
AZ,Gila,80,15,2376,3,0,69,7,0,2550
AZ,Graham,14,0,461,0,0,9,3,1,488
AZ,Greenlee,12,1,305,0,0,6,2,0,326
AZ,La Paz,102,24,689,8,0,29,2,0,854
AZ,Maricopa,12732,816,97642,1905,473,3330,805,12,117715
AZ,Mohave,137,29,830,11,0,68,20,4,1099
AZ,Navajo,102,9,694,5,0,59,2,2,873
AZ,Pima,4494,412,5368,80,57,496,142,3,11052
AZ,Pinal,452,47,4437,15,0,131,26,1,5109
AZ,Yavapai,344,74,2997,9,0,154,31,0,3609
AZ,Yuma,118,16,432,7,0,17,4,0,594
CA,ALL,250844,67332,1881074,11971,4104,187813,125498,185,2528821
CA,Alameda,16819,3489,107957,644,371,12229,9422,3,150934
CA,Alpine,4,0,66,0,0,13,0,0,83
CA,Amador,301,38,309,2,0,124,127,3,904
CA,Butte,459,98,684,2,0,244,261,2,1750
CA,Calaveras,400,44,311,0,0,151,129,0,1035
CA,Colusa,128,48,819,7,0,68,86,1,1157
CA,Contra Costa,8318,1661,39034,239,44,3451,5529,1,58277
CA,Del Norte,41,12,2677,7,0,22,7,0,2766
CA,El Dorado,1262,247,9018,28,0,574,654,5,11788
CA,Fresno,2043,397,4217,65,94,441,663,1,7921
CA,Glenn,117,32,261,5,0,44,57,0,516
CA,Humboldt,335,91,7752,29,0,125,177,1,8510
CA,Imperial,13,5,59,4,0,4,0,0,85
CA,Inyo,30,10,1249,2,0,29,10,0,1330
CA,Kern,1789,481,7216,44,40,393,562,0,10525
CA,Kings,263,47,945,3,0,58,72,0,1388
CA,Lake,341,76,901,4,0,198,212,0,1732
CA,Lassen,55,11,1317,2,0,17,13,0,1415
CA,Los Angeles,87850,26970,770487,4506,887,86048,39377,43,1016168
CA,Madera,450,86,1272,10,0,153,100,1,2072
CA,Marin,2127,540,10948,117,0,848,1756,0,16336
CA,Mariposa,78,4,804,1,0,92,13,0,992
CA,Mendocino,486,127,8353,23,0,295,424,0,9708
CA,Merced,1018,217,2493,16,0,344,485,1,4574
CA,Modoc,6,0,40,0,0,3,1,0,50
CA,Mono,78,33,3502,0,0,42,22,2,3679
CA,Monterey,1829,385,23039,149,5,979,1052,2,27440
CA,Napa,1153,189,16151,40,1,1657,545,3,19739
CA,Nevada,799,162,13310,24,0,514,331,1,15141
CA,Orange,15394,5204,171139,487,389,20926,8408,5,221952
CA,Placer,2279,613,21144,202,0,1066,1101,2,26407
CA,Plumas,68,9,303,0,0,21,15,0,416
CA,Riverside,13139,3881,82701,656,156,8518,6760,13,115824
CA,Sacramento,13743,2335,59964,316,141,6180,4616,7,87302
CA,San Benito,374,71,5299,25,0,309,161,0,6239
CA,San Bernardino,13389,4896,73726,384,229,9311,6899,5,108839
CA,San Diego,16985,5326,106913,1251,394,11715,9803,14,152401
CA,San Francisco,2953,1030,53155,614,239,2873,2365,12,63241
CA,San Joaquin,4791,834,16437,116,223,1679,1761,4,25845
CA,San Luis Obispo,755,188,4287,115,10,212,328,2,5897
CA,San Mateo,5332,1083,44240,289,1,2187,3524,3,56659
CA,Santa Barbara,1633,391,15646,83,35,848,815,2,19453
CA,Santa Clara,12618,2233,80548,531,501,4815,7116,25,108387
CA,Santa Cruz,1814,339,13665,141,0,920,1008,5,17892
CA,Shasta,325,89,1318,2,0,118,120,0,1972
CA,Sierra,30,3,447,3,0,4,4,0,491
CA,Siskiyou,40,14,1474,3,0,53,37,0,1621
CA,Solano,3878,790,21566,104,0,1402,2169,6,29915
CA,Sonoma,4148,634,28745,531,0,2186,2310,4,38558
CA,Stanislaus,2078,332,7030,25,117,667,797,2,11048
CA,Sutter,177,27,1195,1,0,85,56,1,1542
CA,Tehama,164,49,557,3,0,49,67,0,889
CA,Trinity,60,15,234,1,0,14,11,1,336
CA,Tulare,966,170,1049,7,73,162,190,1,2618
CA,Tuolumne,230,33,668,4,0,77,46,0,1058
CA,Ventura,3211,865,22655,79,1,1374,2120,1,30306
CA,Yolo,1429,340,6797,16,153,646,738,0,10119
CA,Yuba,249,38,2981,9,0,236,66,0,3579
CO,ALL,10919,1324,172145,13656,361,8535,571,98,207609
CO,Adams,1597,168,15887,499,16,841,62,5,19075
CO,Alamosa,0,0,136,1,0,5,0,0,142
CO,Arapahoe,1386,104,12684,797,0,283,55,15,15324
CO,Archuleta,0,0,650,5,0,18,0,0,673
CO,Baca,3,0,240,0,0,3,0,0,246
CO,Bent,0,0,182,1,0,0,0,0,183
CO,Boulder,143,24,5932,1174,14,108,5,5,7405
CO,Broomfield,168,23,1841,62,0,38,5,3,2140
CO,Chaffee,2,0,899,25,0,33,0,0,959
CO,Cheyenne,1,1,234,0,0,5,0,1,242
CO,Clear Creek,97,24,8207,148,0,361,12,1,8850
CO,Conejos,0,0,23,1,0,4,0,0,28
CO,Costilla,0,0,271,3,0,10,0,0,284
CO,Crowley,1,1,15,2,0,1,0,0,20
CO,Custer,0,0,119,1,0,3,0,0,123
CO,Delta,0,1,243,28,0,10,0,1,283
CO,Denver,3503,423,25712,1624,216,3918,241,10,35647
CO,Dolores,0,0,133,4,0,9,0,0,146
CO,Douglas,463,103,8870,2065,0,221,32,14,11768
CO,Eagle,37,10,7890,96,0,175,3,1,8212
CO,El Paso,1947,172,8335,1856,98,649,52,9,13118
CO,Elbert,7,4,787,13,0,19,2,0,832
CO,Fremont,5,2,923,19,0,19,1,0,969
CO,Garfield,19,5,4323,75,0,89,3,0,4514
CO,Gilpin,5,1,92,113,0,5,0,0,216
CO,Grand,3,1,849,58,0,20,0,1,932
CO,Gunnison,3,0,2087,21,0,30,0,2,2143
CO,Hinsdale,0,0,5,0,0,2,0,0,7
CO,Huerfano,3,0,1313,14,0,21,0,0,1351
CO,Jackson,1,0,224,8,0,6,0,0,239
CO,Jefferson,967,119,12335,742,0,323,57,9,14552
CO,Kiowa,0,0,176,0,0,3,0,0,179
CO,Kit Carson,3,4,2006,8,0,26,0,2,2049
CO,La Plata,4,3,757,40,0,24,1,0,829
CO,Lake,4,0,120,47,0,11,0,1,183
CO,Larimer,181,38,6487,2463,8,135,14,11,9337
CO,Las Animas,6,0,2020,23,0,32,0,0,2081
CO,Lincoln,7,4,1518,2,0,27,1,0,1559
CO,Logan,5,3,3386,48,0,39,1,0,3482
CO,Mesa,12,7,2706,321,0,66,2,0,3114
CO,Mineral,4,0,1686,15,0,12,0,2,1719
CO,Moffat,1,0,500,6,0,12,0,0,519
CO,Montezuma,1,0,874,32,0,11,0,0,918
CO,Montrose,0,0,490,36,0,8,0,0,534
CO,Morgan,10,8,484,46,0,24,1,0,573
CO,Otero,1,1,213,3,0,8,0,0,226
CO,Ouray,2,0,181,10,0,30,0,0,223
CO,Park,8,2,1647,11,0,49,1,0,1718
CO,Phillips,0,2,160,12,0,4,0,0,178
CO,Pitkin,9,0,888,20,0,25,1,0,943
CO,Prowers,1,0,494,5,0,11,0,0,511
CO,Pueblo,41,4,2454,150,0,75,4,1,2729
CO,Rio Blanco,1,0,261,5,0,16,0,0,283
CO,Rio Grande,1,0,285,12,0,1,0,0,299
CO,Routt,1,1,1863,88,0,17,0,0,1970
CO,Saguache,0,0,224,5,0,7,0,0,236
CO,San Juan,0,0,188,9,0,52,1,0,250
CO,San Miguel,0,0,108,11,0,9,0,0,128
CO,Sedgwick,0,0,615,28,0,6,0,0,649
CO,Summit,33,4,8793,141,0,374,2,1,9348
CO,Teller,7,0,219,14,0,23,0,0,263
CO,Washington,6,3,363,12,0,9,0,0,393
CO,Weld,206,54,8317,571,9,157,12,3,9329
CO,Yuma,3,0,221,7,0,3,0,0,234
CT,ALL,8745,1578,146916,9930,747,8122,551,38,176627
CT,Fairfield,2363,392,64402,2595,152,3268,194,20,73386
CT,Hartford,2951,642,27512,2836,368,1928,137,11,36385
CT,Litchfield,102,11,4056,101,0,228,9,1,4508
CT,Middlesex,362,48,5463,319,23,381,22,0,6618
CT,New Haven,2248,375,31332,2801,146,1130,136,6,38174
CT,New London,385,59,8813,1012,57,719,26,0,11071
CT,Tolland,240,39,2852,124,0,284,19,0,3558
CT,Westchester,0,0,0,1,0,0,0,0,1
CT,Windham,94,12,2486,141,1,184,8,0,2926
DC,ALL,1002,294,65972,872,510,6155,255,11,75071
DC,District Of Columbia,124,21,16330,189,224,1293,59,5,18245
DC,District of Columbia,877,273,49642,682,286,4859,196,6,56821
DC,Montgomery,1,0,0,0,0,0,0,0,1
DC,Prince Georges,0,0,0,1,0,3,0,0,4
DE,ALL,1377,36,27472,419,153,2050,43,1,31551
DE,Kent,10,0,2532,127,0,51,1,0,2721
DE,New Castle,1348,33,20223,254,152,1920,41,1,23972
DE,Sussex,19,3,4717,38,1,79,1,0,4858
FL,ALL,96510,25458,1074216,6624,3395,41885,21098,85,1269271
FL,Alachua,671,272,4535,33,6,252,155,0,5924
FL,Baker,138,25,506,1,0,22,21,0,713
FL,Bay,143,10,12353,6,0,152,20,0,12684
FL,Bradford,39,3,439,3,0,25,4,0,513
FL,Brevard,1452,64,22731,105,0,500,425,1,25278
FL,Broward,7192,2885,113442,612,79,4308,1653,5,130176
FL,Calhoun,11,0,122,0,0,3,0,0,136
FL,Charlotte,336,74,7861,126,143,234,124,0,8898
FL,Citrus,213,1,1841,14,0,57,69,0,2195
FL,Clay,264,35,4187,16,0,103,15,0,4620
FL,Collier,612,87,11223,92,4,378,193,4,12593
FL,Columbia,401,63,1492,6,0,51,95,0,2108
FL,De Soto,23,4,354,0,0,20,12,0,413
FL,DeSoto,28,3,438,1,0,17,9,0,496
FL,Dixie,6,0,160,0,0,3,0,0,169
FL,Duval,6297,5203,31099,252,108,960,1152,0,45071
FL,Escambia,893,1140,6636,42,68,155,197,0,9131
FL,Flagler,147,9,1687,6,0,61,37,0,1947
FL,Franklin,1,0,38,0,0,4,0,0,43
FL,Gadsden,198,650,656,1,0,36,65,0,1606
FL,Gilchrist,5,0,111,0,0,0,0,0,116
FL,Glades,19,0,402,2,0,19,12,0,454
FL,Gulf,9,0,325,2,0,3,1,0,340
FL,Hamilton,125,12,526,5,0,24,37,0,729
FL,Hardee,92,4,379,1,0,16,24,1,517
FL,Hendry,62,2,592,6,0,18,25,0,705
FL,Hernando,2120,30,3868,46,0,170,903,1,7138
FL,Highlands,196,4,2399,1,0,68,61,0,2729
FL,Hillsborough,7116,754,74673,943,326,2437,1316,9,87574
FL,Holmes,57,379,216,0,0,14,40,0,706
FL,Indian River,234,96,6762,19,0,115,75,0,7301
FL,Jackson,175,806,838,7,0,34,76,0,1936
FL,Jefferson,30,6,366,1,0,11,17,0,431
FL,Lafayette,4,0,145,0,0,0,0,0,149
FL,Lake,628,36,12064,15,0,252,178,0,13173
FL,Lee,5669,327,31990,81,271,851,740,5,39934
FL,Leon,441,54,5174,36,22,168,44,0,5939
FL,Levy,56,0,590,0,0,23,15,0,684
FL,Liberty,13,2,47,0,0,1,0,0,63
FL,Madison,123,9,386,1,0,10,23,0,552
FL,Manatee,2608,137,17572,42,156,1117,461,0,22093
FL,Marion,961,47,8709,28,0,344,151,0,10240
FL,Martin,382,120,10340,17,0,215,74,0,11148
FL,Miami-Dade,15830,5036,307704,1630,465,15134,4588,37,350424
FL,Monroe,96,7,14323,1,0,215,12,0,14654
FL,Nassau,161,55,2634,6,0,39,24,0,2919
FL,Okaloosa,268,628,9560,16,0,191,64,0,10727
FL,Okeechobee,30,3,2226,7,0,31,15,0,2312
FL,Orange,14460,1464,85621,1161,325,3687,2594,6,109318
FL,Osceola,1716,78,42404,41,152,2100,448,1,46940
FL,Palm Beach,4913,1420,58888,202,411,2179,1220,6,69239
FL,Pasco,3053,90,9930,59,0,435,667,0,14234
FL,Pinellas,7839,528,26455,266,466,1684,822,5,38065
FL,Polk,882,99,15816,52,146,484,247,0,17726
FL,Putnam,70,0,1141,2,0,36,16,0,1265
FL,Saint Johns,16,1,1526,51,0,14,3,0,1611
FL,Saint Lucie,28,2,4760,27,3,117,7,1,4945
FL,Santa Rosa,305,735,4749,12,0,97,60,0,5958
FL,Sarasota,2446,157,17003,96,32,593,622,2,20951
FL,Seminole,1221,154,18508,94,0,495,280,0,20752
FL,St. Johns,467,317,8555,64,1,151,130,0,9685
FL,St. Lucie,396,239,6581,101,24,196,179,0,7716
FL,Sumter,381,39,3035,23,0,113,84,0,3675
FL,Suwannee,202,7,748,3,0,26,25,0,1011
FL,Taylor,17,1,491,9,0,2,4,0,524
FL,Union,14,0,121,1,0,2,1,0,139
FL,Volusia,1283,88,26645,128,187,506,366,1,29204
FL,Wakulla,46,1,211,1,0,8,9,0,276
FL,Walton,112,563,3972,2,0,84,55,0,4788
FL,Washington,68,393,335,0,0,15,37,0,848
GA,ALL,35267,34926,459833,3305,843,32215,13071,70,579530
GA,Appling,2,0,287,1,0,6,0,0,296
GA,Atkinson,0,0,271,1,0,3,0,0,275
GA,Bacon,1,0,128,1,0,5,0,0,135
GA,Baker,0,0,114,1,0,2,3,0,120
GA,Baldwin,22,2,513,9,0,51,8,0,605
GA,Banks,49,25,166,8,0,33,41,0,322
GA,Barrow,48,22,1725,4,0,284,45,0,2128
GA,Bartow,218,160,3501,12,0,197,129,1,4218
GA,Ben Hill,4,1,418,6,0,8,7,0,444
GA,Berrien,3,0,196,1,0,2,6,0,208
GA,Bibb,344,154,4312,23,44,257,146,1,5281
GA,Bleckley,7,14,133,2,0,10,5,0,171
GA,Brantley,1,0,143,0,0,5,0,0,149
GA,Brooks,8,0,291,0,0,10,0,0,309
GA,Bryan,29,34,1282,7,0,31,15,0,1398
GA,Bulloch,44,43,944,6,28,36,24,1,1126
GA,Burke,7,0,490,9,0,18,2,0,526
GA,Butts,111,37,1665,10,0,253,39,1,2116
GA,Calhoun,1,0,662,2,0,3,1,0,669
GA,Camden,23,20,385,6,0,15,14,0,463
GA,Candler,19,17,120,4,0,12,9,0,181
GA,Carroll,117,37,3189,31,0,186,40,0,3600
GA,Catoosa,39,13,947,10,0,25,19,0,1053
GA,Charlton,3,0,93,2,0,5,0,0,103
GA,Chatham,529,127,8219,154,5,228,32,0,9294
GA,Chattahoochee,3,1,113,0,0,9,2,0,128
GA,Chattooga,5,1,162,0,0,9,0,1,178
GA,Cherokee,258,117,7199,45,0,344,126,3,8092
GA,Clarke,30,2,2183,183,52,126,20,1,2597
GA,Clay,1,0,100,2,0,2,1,0,106
GA,Clayton,1011,2560,10393,84,0,569,422,1,15040
GA,Clinch,0,0,150,2,0,1,0,0,153
GA,Cobb,2523,3176,66507,629,33,3016,1215,4,77103
GA,Coffee,4,0,976,2,0,23,1,1,1007
GA,Colquitt,0,1,326,0,0,9,0,0,336
GA,Columbia,285,71,2984,30,2,127,41,1,3541
GA,Cook,33,9,322,1,0,19,27,0,411
GA,Coweta,179,177,2574,15,0,249,132,0,3326
GA,Crawford,4,1,313,2,0,7,16,0,343
GA,Crisp,16,21,359,4,0,15,10,0,425
GA,Dade,21,7,408,17,0,23,14,1,491
GA,Dawson,46,4,1480,4,0,76,20,0,1630
GA,DeKalb,4344,8479,40036,194,1,2408,2021,1,57484
GA,Decatur,1,1,278,1,0,6,0,0,287
GA,Dekalb,209,150,20201,61,3,1145,131,2,21902
GA,Dodge,7,0,158,0,0,19,9,0,193
GA,Dooly,54,42,232,8,0,30,17,0,383
GA,Dougherty,37,2,823,4,0,56,32,0,954
GA,Douglas,251,465,4851,16,0,287,155,0,6025
GA,Early,1,0,340,0,0,5,5,0,351
GA,Echols,0,0,154,0,0,3,0,0,157
GA,Effingham,11,1,696,2,0,29,3,0,742
GA,Elbert,7,2,93,0,0,30,22,0,154
GA,Emanuel,16,21,427,6,0,13,6,0,489
GA,Evans,8,2,223,0,0,11,1,0,245
GA,Fannin,1,0,194,0,0,16,4,0,215
GA,Fayette,75,6,1531,12,0,162,41,3,1830
GA,Floyd,25,3,853,5,114,49,14,0,1063
GA,Forsyth,150,97,12729,39,0,552,121,0,13688
GA,Franklin,42,43,192,11,0,37,37,0,362
GA,Fulton,14993,14004,115343,891,358,14154,4416,25,164184
GA,Gilmer,7,2,305,2,0,32,5,0,353
GA,Glascock,0,0,28,0,0,0,0,0,28
GA,Glynn,33,22,730,7,1,35,22,0,850
GA,Gordon,68,15,1621,8,0,52,43,0,1807
GA,Grady,2,0,165,0,0,1,1,0,169
GA,Greene,42,32,704,10,0,73,28,1,890
GA,Gwinnett,1616,1959,60931,267,133,2432,696,3,68037
GA,Habersham,17,2,315,0,0,53,21,0,408
GA,Hall,176,72,3972,8,0,304,106,0,4638
GA,Hancock,1,0,285,3,0,14,10,0,313
GA,Haralson,41,11,633,4,0,43,10,0,742
GA,Harris,15,28,375,9,0,36,39,1,503
GA,Hart,20,5,147,3,0,22,12,0,209
GA,Heard,11,2,143,6,0,21,9,0,192
GA,Henry,827,1371,14540,62,1,649,316,1,17767
GA,Houston,114,45,1457,12,0,146,70,0,1844
GA,Irwin,2,0,250,1,0,9,3,0,265
GA,Jackson,163,84,1094,9,0,114,91,0,1555
GA,Jasper,7,0,290,0,0,17,8,0,322
GA,Jeff Davis,2,0,278,1,0,8,1,0,290
GA,Jefferson,8,3,388,3,0,14,2,0,418
GA,Jenkins,1,0,170,0,0,4,1,0,176
GA,Johnson,2,1,96,0,0,6,1,0,106
GA,Jones,3,0,334,2,0,37,27,1,404
GA,Lamar,25,15,219,2,0,15,12,1,289
GA,Lanier,0,0,128,1,0,3,0,0,132
GA,Laurens,61,61,967,21,0,41,28,0,1179
GA,Lee,2,1,320,1,0,16,0,0,340
GA,Liberty,30,29,1157,4,0,57,11,8,1296
GA,Lincoln,2,0,84,5,0,8,1,0,100
GA,Long,4,0,391,1,0,7,3,0,406
GA,Lowndes,48,19,999,9,0,56,14,0,1145
GA,Lumpkin,1,0,1139,0,0,32,0,0,1172
GA,Macon,7,1,273,4,0,26,12,0,323
GA,Madison,2,0,181,0,0,17,11,0,211
GA,Marion,2,1,110,3,0,8,14,0,138
GA,McDuffie,43,26,405,3,0,20,12,0,509
GA,McIntosh,24,22,232,3,0,13,9,0,303
GA,Mcduffie,1,2,226,0,0,7,0,0,236
GA,Mcintosh,0,0,18,0,0,0,0,0,18
GA,Meriwether,8,1,312,2,0,41,28,0,392
GA,Miller,4,0,110,0,0,5,1,0,120
GA,Mitchell,1,4,340,3,0,13,5,0,366
GA,Monroe,145,129,1489,27,0,64,94,1,1949
GA,Montgomery,0,0,92,0,0,3,0,0,95
GA,Morgan,55,57,1261,9,0,81,30,0,1493
GA,Murray,9,1,182,0,0,20,7,0,219
GA,Muscogee,42,10,2097,26,0,54,13,0,2242
GA,Newton,83,57,2015,14,0,120,62,0,2351
GA,Oconee,46,1,1016,5,0,48,15,0,1131
GA,Oglethorpe,3,0,195,2,0,8,4,0,212
GA,Paulding,25,3,4378,3,0,164,56,2,4631
GA,Peach,89,35,839,12,0,53,45,0,1073
GA,Pickens,12,2,514,1,0,35,14,0,578
GA,Pierce,1,0,310,1,0,11,1,0,324
GA,Pike,11,0,154,2,0,17,11,0,195
GA,Polk,13,2,309,0,0,27,10,0,361
GA,Pulaski,5,3,185,2,0,16,23,0,234
GA,Putnam,4,0,633,7,0,16,6,0,666
GA,Quitman,0,0,147,0,0,0,1,0,148
GA,Rabun,0,0,344,0,0,15,2,0,361
GA,Randolph,1,0,305,0,0,1,1,0,308
GA,Richmond,4408,199,2499,43,67,429,847,1,8493
GA,Rockdale,106,147,1875,8,1,176,71,0,2384
GA,Schley,1,1,66,0,0,7,3,0,78
GA,Screven,3,1,285,0,0,8,1,0,298
GA,Seminole,0,0,28,2,0,0,0,0,30
GA,Spalding,37,2,1569,10,0,116,26,0,1760
GA,Stephens,4,0,53,0,0,14,4,0,75
GA,Stewart,10,2,172,1,0,9,5,0,199
